url,id,title,snippet,created_date
https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047849,post-7047849,Discussion What would you do during purge night?,I would burn my school and everyone's marksheet ^^  Now that's an evil masterplan,"Jul 26, 2022 at 12:49 PM"
https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047440,post-7047440,Discussion What would you do during purge night?,So your going to play plague inc but in real life? Seems like a lot to do in 1 night.  Of course not... :blobspy:  :sweating_profusely: That's intense,"Jul 26, 2022 at 8:12 AM"
https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,post-7047360,Discussion What would you do during purge night?,[IMG],"Jul 26, 2022 at 7:41 AM"
https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,post-7047307,Discussion What would you do during purge night?,Make a roblox account without my parent's permisson,"Jul 26, 2022 at 7:29 AM"
https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,post-6811423,Metaverse,"...still far, far away. For most people, metaverse is still limited to roblox or similar game.  As for NTF, as for now it's just a hype. I have no...","Jan 16, 2022 at 10:03 AM"
https://forum.novelupdates.com/threads/can-you-recommend-some-games-to-download-in-pc-for-free.131600/page-2#post-6723898,post-6723898,Can you recommend some games to download in pc for free,"Same I like it too, its story line is good and art work graphics all are good!","Oct 30, 2021 at 5:00 PM"
https://forum.novelupdates.com/threads/roblox-bans-holding-hands-and-kissing.136900/#post-6701281,post-6701281,Non-Fic Roblox Bans Holding Hands... And kissing.,"*holds hand* oh no, what would happen to us?! ::blobcatsmile::","Oct 14, 2021 at 5:14 AM"
https://forum.novelupdates.com/threads/roblox-bans-holding-hands-and-kissing.136900/#post-6701266,post-6701266,Non-Fic Roblox Bans Holding Hands... And kissing.,I don't know why I find this funny XD,"Oct 14, 2021 at 5:00 AM"
https://forum.novelupdates.com/threads/roblox-bans-holding-hands-and-kissing.136900/,thread-136900,Non-Fic Roblox Bans Holding Hands... And kissing.,"https://gamerant.com/roblox-bans-romantic-gestures-holding-hands-kissing/  It's official, Hand Holding are lewder than sex. :blob_blush:","Oct 14, 2021 at 4:51 AM"
https://forum.novelupdates.com/threads/receive-free-stuff-from-a-game.136242/#post-6685761,post-6685761,Discussion Receive free stuff from a game,...it?  Games can be anything from mobile app to online server ie: - Roblox,
